"Пожелаем Америке ГУД БАЙ! https:// twitter.com/innamyflower/s tatus/926516881623789569 …"
"Отнюдь не так трактуется пляска с сатаной... всё давно искуплено и прощено за давностию лет. А сегодня неизвестно с чьей руки народное хаемо"
"Спасибо!"
"Ценно было с вами провести время! Счастливых вам выходных!"
"А то мы придём и помогем полюбить наши шпротеусы. Пусть напишет что ел и чем запивал, чтобы мы не вляпались ф прибалтийские подделки"
"А так уж тысячами убивали историков-иноков? Их десяток был сведущих и я уверен в их аполитичности и непредвзятости, за что их можно было..."
"Историю надо чтобы писала наука не имеющая с партиями симпатий и апатий"
"Ешьте пармезан в Европе"
"А что в них не так? Что, несварение или расстройство? Может вам вообще противопоказаны шпроты любые... )))"
"Беречь надо опыт поколений, ибо кровью и потом даётся каждый шаг понимания челтвеческой сущности.Ленин научил считаться с силой пролетариата"
"Что надо, изучил в школе и имею общее представление об интеллект-ой деятельности этого выдающегося мыслителя... КАКОГО НИ У ОДНОЙ НАЦИИ НЕТ"
"Ошибаетесь... нашли, ибо спокойно рассуждаем без истерик и ЧС. Вы по доброму принимаете иную точку зрения и это совсем даже не плохо"
"Он русских не знает... русские всё перепробовали ща свою историю, ибо ищущая нация и где вы читали, что Ленина захоронил народ НЕ ПРАВИЛЬНО?"
"Я дед, а по роду службы приходится заниматься организовыванием людей в сплочённую общность для достижения совместного в многоквартирном доме"
"Русский след... https:// twitter.com/zapvv/status/9 26009579326013440 …"
"Зато фаомацевтика все леса и съела на планете, заворачивая свою химию в чистый экологический продукт, который ценнее самого лекарства https:// twitter.com/Albertich61/st atus/926443670164922368 …"
"Нигде бедным АТОшникам места себе не найти, всюду плюют вслед https:// twitter.com/S_Pashkovskaya /status/926470993778012160 …"
"Эти "десантники" токо с бабами воевать, судя по их поведению на Донбассе, где они показали своё истинное лицо"
"Шпротами российскими уже ломятся прилавки и она ничем не хуже прибалтийской"
"Победа Асада, ТОРЖЕСТВО ГОСУДАРСТВЕННОСТИ И НАРОДНОСТИ, а не кучки авантюристов, поддержанной деньгами жаждущих развала суверенитета Сирии https:// twitter.com/VAricx/status/ 926251240400580609 …"
"Китай нашёл выход и мы найдём узду на Мамону, иначе снова 17 год"
"Вам индивидуалистам не понять коллективизм тут в Твиттере русскими выстраиваемый. Есть такой хороший человек Хуршудов на Гайдпарке, ему верю pic.twitter.com/5rgi0DAHVu"
"Если нам "навязана" история адептами КПСС, то вам историю пишут бросившие Россию писаки из за УГЛА(фобы), ни за что не отвечающие перед вами"
"На Западе вообще практикуется сжигание и урночка с пеплом стоит всегда дома на видном месте, её целуют и лелеют..."
"Иудея у тебя фон в голове... как лечится не знаю, скажи хоть что умное наперёд и в чём неправильность бальзамирования выдающегося лидера?"
"Вы не внемлете... слышите только своё внутреннее. ЕЩЁ РАЗ ПОЩУ. Ленин забальзамирован по уникальной технологии ничему не кощунствующей pic.twitter.com/fUzJDTP4RN"
"А деревянный макинтош тебе больше бы подошёл с надписью: ПЫТАЛСЯ В КОПЫТО РУССКОМУ КОНЮ ГРЫЗЛО ВПИТЬ... )))"
"К компартии неимею никакого отношения, более того, мне нравится Россия Путина, за неё и болею, пытаясь подтянуть Идею до необходимого уровня"
"Жизнь на селе высасывается мощнейшими финансовыми инструмеетами... жить будешь не богато, но горбато"
"И это правда. У нас таде хрень...жиденькие фермеры, еле концы с концами сводящие, задавленные процентами на кредиты от московских банков"
"У нас поля в разнотравьи, коси не хочу. Нужна техника и целенаправленность властей, а пока всё стихийно и кабы как без планирования и цели"
"Мы ищем тчк опоры для выработки новой идеи построения общества, лишние движения нам диктуют всё чаще извне,чтоб расшатать уверенность в себе"
"Вот вот и сим борщевиком загадили все ландшафты около дорог... его косили поздновато, когда он уже созрел и семенился, а он приживистый"
"Своим топтанием легендарного "трупа" Хрущёв уронил авторитет компартии и поджёг шнур русофобий во всём мире, последовал раскол элит от него"
"Сейчас по отношению к нему в вас точно политика, а не сострадание к "трупу""
"Царь потерял нить правления, надеясь на "умнвх министров", которые и завели страну на мель, отдав либералам ВСЁ"
"Именно так, потому я ратую не за возврат социализма, спасительной для лежебок, а всё же за частную собственность с сбалансированным законом"
"А Ленину надо было наблюдать как либералы делят земли свергнутой ими монархии? Он не царя, а иностранных выродков учинивших безвластие побил"
"Ленин знал, что по окончании войны, отданные земли вернутся... так и произошло, Германия проиграла, земли вернулись обратно без усилий"
"Солидарен!"
"Трамп оказался полезным своей стране... спасибо России! ))) не дала завалить весомого кандидата https:// twitter.com/interfax_news/ status/926450148795977733 …"
"pic.twitter.com/GWhIwoRcy7"
"Царю не надо было ввязываться в разорительную военную авантюру ll Мировой в преддверии революции. Соблазнился воротами в Средиземное море"
"В России всегда что то прогнивало и нужен был стресстест, которым и являлась революция... ОНА БЫЛА НЕИЗБЕЖНА. Так же и к 1993 году созрело"
"И не собираюсь на "полную". Обхожусь тем что есть и детей тому же учу. Революция делалась не для обжорства, но через 70 лет обжоры вернулись"
"Кое где и у нас сажают до сих пор на силос"
"Скотина ещё на химию не жаловалась... корнеплодов хватает и зерновых"
"Нанесение любого ЯУ приведёт к смерти всего живого на планете... радиация будет в каждых лёгких, наступит ядерная зима, 10 лет без солнца"
"При строительстве мавзолея, а проектировали не глупые люди, были учтены все каноны, соответствующие русским традициям погребения выдающихся"
"Царя берегли большевики для народного суда над угнетателями... убивать отрёкшегося, смысл?.. вся монархия к 17 году прогнила как КПСС к 1990"
"Когда что то открыть неподдающееся, мы ломиком пользуемся, так и революция начинается, в бой идут радикалы, их к этому готовят, жертвенности"
"Идея затереть память отцов и дедов сейчас превуалирует во всём, потом и ветеранов надо будет затереть... как всё сложно. Оставить как есть"
"Китай последовательно шаг за шагом прошёл весь путь российской космонавтики. Путь челноков не рентабелен в освоении космоса, убыточен"
"Охота на самолёты началась снова... https:// twitter.com/infapunva1977/ status/926431344476897280 …"
"Галстук начинает жать... https:// twitter.com/pshenichnaya66 /status/926428740007186433 …"
"Айфон заменяет им мозг pic.twitter.com/9Y65W0OO7B"
"И ещё они постоянно всем недовольны и говорят как плохо мы живём, денег не хватает всё скупить"
