"А шоу набирает обороты!Беркова идёт в президенты! https://www. youtube.com/watch?v=M2czlh nNeyw&sns=tw … через @youtube pic.twitter.com/9qF6bEIgfx"
"Дотянул до"белых мух" "Переобуваться,переобуваться.."Всем привет и хорошего настроения! pic.twitter.com/aHkDAiBI6k"
"Не в бровь,а в глаз! Здравия желаю,тов.полковник!!!"
"Без комментариев pic.twitter.com/R2VhxqHm7l"
""75 летию Сталинградской битве посвещается.."Путин распорядился за счет бюджета помочь регионам с большими долгами: http://www. rbc.ru/economics/31/1 0/2017/59f86cae9a7947c822f0e54e … pic.twitter.com/59VNPbnl6f"
"Чтобы помнили.50 лет назад.В Саласпилсе,18 км от Риги,на месте бывшего фашистского концлагеря открыт мемориальный комплекс памяти его жертв. pic.twitter.com/o8R3Wl5mdM"
"861-й день войны. Осень 1943 года К исходу дня 30 октября.Советские войска после освобождения г. Геническа выходят на побережье Сиваша. pic.twitter.com/ogmX6WL59L"
"более 90 тыс."блицкригеров",в борьбе за спасение жизни пленных будут умирать от заразных болезней советские врачи https://www. youtube.com/watch?v=8CHCVN nw1b0 … pic.twitter.com/QHCpQ2mdGE"
"Давно объявил всей этой помойке"бойкот"..Здравия желаю,тов.полковник.."
"Без комментариев...Привет,Макс pic.twitter.com/Gw6LxlX1Dh"
"Путин напомнил,что"Эхо Москвы"работает на государственные деньги"..такого вообще ни в одной стране мира нет" https:// m.tsargrad.tv/news/putin-nap omnil-chto-jeho-moskvy-rabotaet-na-gosudarstvennye-dengi_93086 … pic.twitter.com/kSeQAUDHcZ"
""Зачем",версий много,но как понять"кто-то"!?!Путин заявил,что кто-то целенаправленно собирает биоматериал россиян: https:// ria.ru/society/201710 30/1507844722.html …"
"Легенды отечественного хоккея..такой плакат был у многих мальчишек СССР,мы не вылезали из коробок,которые были почти в каждом дворе..СССР pic.twitter.com/vkNjI6XNA5"
"@neudivili С Днём Рождения!!!Чтоб подаркам не было числа! Всех благ! pic.twitter.com/dVd4y2FaC2"
"С днём Водителя,друзья!Ни гвоздя,ни жезла вам и по"зелёному"с хорошим настроением! pic.twitter.com/le782nAa2o"
"Всех причастных с праздником! pic.twitter.com/XlkO8XmdTa"
"Спишем на "перегибы на местах"Главное в жизни это поступки,за которые не стыдно!Хорошего вам настроения!"
"А вот и"хулиганы" !!!"А то"хулиганов нет,хулиганов нет"!!!Мысленно с Вами,спасибо за позитив! pic.twitter.com/yiBiMEyT6X"
"Спасибо вам,ребята...Дай Бог вам всем здоровья!"
"Путин нашел объяснение задолженностям по зарплате,"недисциплинированность работодателей"Работодатели,они такие! http://www. rbc.ru/society/25/10/ 2017/59f0810e9a7947307ed47635 … pic.twitter.com/v16PfpoX4F"
