"Alright now! pic.twitter.com/7gSKLYqaKK"
"Which is nothing new, he's one of them!"
"When children of the corn prey on your college freshman daughter... https:// twitter.com/ShaunKing/stat us/925542798396461056 …"
""
"https:// youtu.be/QB5jk2ZbkoM pic.twitter.com/xOYzYPgAUr"
"pic.twitter.com/S8FJIhhGIF"
"To a crisp!"
"Sistah Souljah! https:// twitter.com/theblackdetour /status/882737139179540482 …"
"Malcolm X Goes BEAST MODE On White Liberal (1963) https:// youtu.be/0Jfp0_vIn2U via @YouTube"
"Typically disingenuous! Black NFL athletes are college educated, men & should not be subjected daily, to abhorently blatant discrimination!"
""
"And also why did #45 add Chad to the travel ban!"
"This why #TakeAKnee silent protests are necessary. They've always shown us who they are... #Crackas pic.twitter.com/54bEdxmqwE"
"The atrocities committed against humanity by straight savage beasts!"
"Commercial running strong in East Bay"
"F.U.B.U. pic.twitter.com/V0Xb6odcbW"
"#TheRunDownBET Robin Thede alright now!"
"Protect & Serve... Themselves RIP Moe Rosoff https:// twitter.com/TalbertSwan/st atus/923718973883023361 …"
"Bet he gets a suspended sentence...hope I'm Dead wrong tho!"
"Truth be told, their women also play a consistently clandestinely counterfeit role. Yet we are not ignorant to their savagery & malfeasance. pic.twitter.com/2XnOkHzBxJ"
"Should seize, & forensically retrieve data"
"How America's public schools keep our kids in poverty | Kandice Sumner https:// youtu.be/7O7BMa9XGXE via @YouTube #ByDesign #FoundingFathersBS"
"Jah Bless the American Black Cross! It's a #SimplyBeautiful thing!"
"#NeverForget #TerenceCrutcher KKKops are still terrorizing this man's family!"
"Thas wassup...best story so far today! pic.twitter.com/b1vVtdiQQw"
"@corilynn76 When ya get a minute...>>>> Jonathan Kozol - Savage Inequalities https:// youtu.be/f6wCsAXmjdI via @YouTube"
"Get your affairs in order son..."
"https://www. rawstory.com/2017/10/illino is-man-under-investigation-for-threatening-to-lynch-rep-wilson-and-hes-blaming-social-media-trolls/amp/ … #WhiteExtremistTerrorists"
"Nope. Would only do more harm than good at this point. You can't undo what '45 & the WH Admin. has done. Allow her to grieve & Let it be!"
"He has no honor, integrity, nor respect for Black women & 5 Star Familes. Kelly showed us who he is. #IBelieveFrederica #25thAmendmentNow pic.twitter.com/6o8O41Tgh5"
"It was never about the '45 wants to keep NFL free of protests to fuel military recruitment. He wants & enjoy wars. #OurBelovedAreHisPawns"
"Sept - Oct.18, 2017, NOT once did '45 at least request that corporate NFL observe a moment of silence for the fallen soldiers Not once..."
"It was never about the '45 wants to keep NFL free of protests to fuel military recruitment. He enjoys & wants wars. #OurBelovedAreHisPawns ."
"https:// ijr.com/the-response/2 017/10/1003062-20-lies-trump-chief-staff-john-kelly-told-just-4-minutes/amp/ …"
"Insane! The rich in office view working class as undeserving peasants who should not have rights or guidelines to protect disabled children! pic.twitter.com/PMz1RMPPlH"
"Gurl... All day, er' day! pic.twitter.com/b1s38CKd12"
"Please continue, I'm here for it! #IFoundNoLies https:// twitter.com/trueblackpower /status/922144394156953600 …"
"http://www. politicususa.com/2017/10/22/dav id-petraeus-schools-white-house-citizens-criticize-generals.html …"
"Yep ...I RT'd this out yesterday. Didja see this one tho? https:// twitter.com/msprettylin271 /status/921545972332691457 … Both"
"What's the matter you troll people, then think you've blocked them, but can't come up with your own words... pathetic soulless coward! https:// twitter.com/amarino68/stat us/921696305193324544 …"
