"Are they rigged too?"
"This reeks of entitlement and being picky. Cut us all open and we’re all the same on the inside, cultural care is nonsense!"
"Culturally competent care? Who srsly gives a damn about that, if you’re going to help me
"You just proved her point!"
"Shame the baby was never loved!"
"I’d love to see some figures stating how many black people are killed by abortion in comparison to cops!"
"Messy bunch of figures that don’t really show anything, nice try!"
"Which means at least 16.1m babies were killed!"
"Shut up John you crazy old fool!"
"Bitch, are you really that dumb?"
"“System of oppression”"
"Of course he wouldn’t!"
"Bullshit! That tweet was a knee jerk reaction that you hoped would go viral, it did
"Tell that to the Coptic Christians in Libya"
"Congratulations! You’ve won the coveted twitter award of ‘dick of the day’ for this insanely stupid tweet!"
"If someone is mowing down innocent people with a truck, then exits truck with a fake gun shouting “Allahu Akbar”= pretty good idea of motive"
"Look at his top tweet and tell me what word he used to describe yesterday’s NYC terrorist?! pic.twitter.com/V9j9qdFsEQ"
"Trump is literally Hitler (hysterical tears and autistic screeching)"
"God damn womansplainer!"
"The uterus is an exclusively female organ. Period!"
