"They ain't seen nothing yet,! Watch and learn Papa John's!"
"The word of God says, give and it shall be given unto you. Luke 6:38 Pride comes before a fall. Humble yourself before it's too late."
"C'on writers, vague or just a lie? Vast majority? Trump did not receive majority of the peoples votes, oblivious to his approval ratings?"
"America, Puerto Rico still needs your help @CNN http:// cnn.it/2kWWA4M"
"I just signed this petition on OrganizeFor with @ColorOfChange . Will you join me? #O4 https:// campaigns.organizefor.org/petitions/los- angeles-county-da-prosecute-police-who-kill-our-people?bucket=COC&source=twitter-share-button … via @ColorOfChange"
"The one group we abandoned during the hurricanes @CNN http:// cnn.it/2xj8P00"
"Tell Secretary of HUD Ben Carson to stop Trump's massive & unjust cuts to federal housing programs! https:// actionnetwork.org/petitions/sign -the-petition-tell-ben-carson-to-stop-trumps-housing-cuts?source=twitter& … #NoCuts #HUDCuts"
"@RevoltTV @UN @sarasidnerCNN @BLMLA Leaders, are Police above Gods' Law when they kill. Thou shalt not kill! When will there be justice?"
"@bbc @amnesty @cnn @un When will Leaders stand up, help American people who continue to be killed by corrupt American Police. RIP #Philando"
"I just signed this petition on OrganizeFor with @ColorOfChange . Will you join me? #O4 https:// campaigns.organizefor.org/petitions/fire -and-charge-the-officers-who-killed-desmond-phillips?bucket=COC&source=twitter-share-button … via @ColorOfChange"
"They're human beings first, and loved by God. They need aid, and its humanity's job to help. Give them a chance, to restore their lives."
"And to you too Willapuz."
"Lord be a fence. Fred Hammond - Jesus Be a Fence YouTube https:// m.youtube.com/watch?v=ce7LQf Y0d30 …"
"Manchester, we in America are sadden for your pain, we send our prayers and love and will stand with you against all hate and evil."
"He's been terrorizing our country for 100 days too many, should be placed on FBI's Terrorist List and banned!"
"Now let's see if Pres Snowflake, who played sucker to our adversary Putin, will quit, since he has the practice of settling out of court."
"His murder was cold blooded. Again, Police lack for Civilian life, Black Lives. Body cameras are useless, when they have right to murder."
"A spoiled brat, used to getting his way, a practice of settling out of court, Plays mercy to our adversaries, Russia & NKorea, HE WILL QUIT!"
"Need to set a GoFundMe account for him, so he can work on finding a new career, or start his own biz. He deserves better than that!"
"Rather a *itch hunt, and Trump makes that an easy one."
"We need a poll, stating, for one, "How many people believe Trump will resign. He won't be able to stand not getting his way, he will resign."
"He's a trader and so is Trump!!! How much of American Intelligence did Flynn give away. Lock him up!!!"
"Tell @senatemajldr & Senate: Add 6 more #women to the Senate health care working group http:// petitions.moveon.org/s/ym5xqo @moveon #resist"
"Trumpnochio"
"Yulin Dog Meat Festival will happen again on June 21, 2017. 10,000 dogs will be tortured and then eat... https://www. change.org/p/yulin-dog-me at-festival-will-happen-again-on-june-21-2017-10-000-dogs-will-be-tortured-and-then-eaten-this-cruel-festival-started-in-2010-and-it-must-be-stopped?recruiter=398841544&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive … via @Change"
"Police, the only career field, where you get a 99.1% chance of getting away w/murder. We need protection from them."
"So,pre-existing doesn't apply because they were raped, or their need for medical after they're raped? Please explain.Just plain disgraceful!"
"How low and disgraceful can this Administration get!"
"Demented Republicans, so does, "pre-exist" apply before or after I was raped? Makes no sense, do they even know what they're doing!"
"Hsumra dude, is this real or photo shopped? It sure is creepy."
"It can get difficult for loving, peaceful people to live, work in a hateful world. Hope they receive full justice!"
"Families, victims of officer misconduct say Cleveland police reform is still necessary (video) http:// s.cleveland.com/I0Et7BT"
"Department of Justice: Investigate the Killing of Tamir Rice - Sign the Petition! https://www. change.org/p/department-o f-justice-investigate-the-killing-of-tamir-rice?recruiter=398841544&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive … via @Change"
"@animalrights @peta @AnimalRightsUK @cnn . America, the World is watching, not acceptable! Stop all forms of animal testing now!!!"
"Gods' patience with mankind, even when we all could use a good wipping."
"If only mankind can get to this maturity, the respect & care for each others differences. love+respect=PEACE Love your neighbor as yourself."
"Where would we be if Jesus didn't love, save us. Praise be to our Lord Jesus, today and forever, Hallelujah! https:// youtu.be/ZyVGegyQHpk"
"Thank you brother, may God Bless You real good!"
"Sean Spicer lacks the integrity to be @WhiteHouse @PressSec . Sign: http:// petitions.moveon.org/s/rOLij6 @moveon"
"For what offense is a child being punished when their meal tray is taken away? Can't think of one? ... https://www. change.org/p/for-what-off ense-is-a-child-being-punished-when-their-meal-tray-is-taken-away-can-t-think-of-one-neither-can-i?recruiter=398841544&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive … via @Change"
