"So blessed that this asshole is NOT my daughter......"
"@DonnieSimpson @COMICCOP I'm sorry but I have no love or respect for any minority who voted for trump, ever, ever ever and thats forever..."
"Please will someone tell this dumb asshole to shut the fuck up, MY GOODNESS...."
"Getting ready for the Cowboys and Redskins game #WEDEMBOYZ pic.twitter.com/v9QpsWjH5T"
"OMG, @realDonaldTrump got the nerve to call someone sloppy, SMFH"
"All minorities need to come together when this type of bullshit happens, stand up to this racist bullshit, I truly will fight with you.."
"the same time yo mommy be indicted@seanhannity"
"Will began to have faith in america again when that day come, Please God make it happen....."
"LMFAO, guns is all they have, it makes them feel like men, truly they don't own any books. but they dress alike, MY GOODNESS..."
"@newtgingrich why he want to fight a Women, a man would knock out you and asshole with one hand tied behind his back/ #2DOTARDS"
"Why is this crazy ass still running loose?????"
"What about @realDonaldTrump tell me how do he get a free pass on sexual abuse, I will not get serious until trump is prosecuted NO EXCEPTION"
"Well @DonaldJTrumpJr I guess its easy for you to spot a stripper since you been around them all your life, i.e. all of your moms, wife, sis."
"and they should refuse because this is NOT the America I fought for in Vietnam....."
"But an excellent Halloween Mask...."
"And congratulation you have been awarded The Biggest Uncle Tom ever @SheriffClarke truly a disgrace...."
"WOW, these asshole should Thank God that wasn't my kid or a relative because I would make the 6pm News and it wouldn't be pretty, just sayin"
"I hope people remember these asshole faces when they walk the street again, enough said...."
"They should have stomped his racist ass......sorry but this is a disgrace on AMERICA soil"
"@realDonaldTrump NO, you are a total disgrace to America, dude you totally own that title......"
"I truly hope he get much more than that/ #wemustrise"
"But, he's not stunned and heartbroken by all the bullshit and lies this senile sociopath have said and done/ #DownGoesAmerica , SMFH...."
"Its perfectly normal for a white president to be a sociopath in america, remember how they treated President Obama, and he was the best..."
"Or any other white person/ #REALTALK"
"STFU, you racist asshole..."
"My fellow Americans, now that's truly a son of a BITCH @realDonaldTrump , you want to talk about disrespectful/ #TakeAKnee / #VietnamVet"
"Trump just pissed off because he wasn't man enough to serve/ #VietnamVet"
"Trump is such a milk toast he can only intimidate spineless people, can't face a real man"
"They are just as Guilty, a bunch of spineless fuck heads"
"America deserves this motherfucker...."
"@nflnetwork its up to you, All NFL players/ #TakeAKneeNFL this is much bigger than you think, its time to be a REAL HERO/ #TakeAKnee"
"Been a Cowboy's fan for over 50 years, will be highly disappointed if Cowboys don't/ #TakeAKnee at next game, its your constitutional right.."
"The NFL is 70% Black, its time to help your own protest/ #TakeAKnee its about more than you, your children and grandkids/ #TakeTheKnee"
"I truly hope this lady have some brothers, uncles, nephews or some very good family friends, if so/ #EnoughSaid"
"Now its time for Black players on the cowboys/ #TakeAKnee and let this asshole know that he's not dealing with slaves/ #ForYourKids"
"All Black players in @NFL and all players who believe in Justice and Equality Please #TakeAKnee this is the right thing to do/ #YOURRIGHT"
"@dallascowboys @dak As the leader of the Cowboys show the world that you and the Cowboys are truly America's Team/ #TakeTheKnee / #VietnamVet ."
"Hoping to see the leaders of the @dallascowboys #TakeAKnee and stop acting like paid slaves, you have a right under that same flag.."
"FUCK HIM......"
"I will suspended ESPN for suspending Jemele Hill, ESPN a bunch of nutless assholes...."
"Damn, just found my mask for the Halloween party, #MYGOODNESS"
"@CowboysNews365 Leaders on the team, if you respect the flag, then you will #TakeTheKnee thats what the flag stands for #TakeAKnee"
"FUCK HIM"
"I take a knee, and i will tell you this, pour, throw something on me, Trust me, I will kick your ass, MALE or FEMALE, bottom LINE.."
"Since we know you know how to walk out, walk out the white house and take your asshole friend @realDonaldTrump with you, Thank you..."
"Make a lot of money, make Halloween mask of that face, my goodness...."
"Oh, haven't you heard, white people are exempt....."
"You think, if thats all you got, shut the FUCK up....SMFH...."
"We heard this bullshit before, you see thats the problem, republicans think we are all dumb as their base...."
"This is what happens when you have old ass racist white men in office and the rest of the group has NO nuts...."
"@NFLTNF How can you be so hard on @camnewton and the president of the united states has said worse thing about women, this is truly some BS"
"@wusa9 Really @CameronNewton just remember who's in the white house and bottom line black dude making fun of a white girl, trump said worse"
"Truly the Republicans are the pits of the earth.."
"With everything else with this DOTARD, he also got to be the ugliest president in History, MY GOODNESS...."
"white america in full effect/ #TakeAKnee"
"Dude, MY GOODNESS"
"What a true Asshole"
"I'm sorry, but america own that motherfucker, racist america is responsible...."
"America own this piece of BULLSHIT....."
"America this asshole is all you, #Fuckittaketwoknees"
"Hate to say it but some of us is just dumb as a bag of rocks...."
"Listen, I worked with a white guy we both were SCOP and he had a shed with over 100 long and hand guns and stacks and stacks of ammo, SMFH"
"Oh, they know, but he's white, they are trying to clean it up before they put it out...white america in full effect."
"Lets be clear white america...."
"Oooh, just a good ole flag waving boy who just hung out, you know he could have just #TakeAKnee"
"Right on Sisters, much Love...."
"@AjaforCongress Sorry, No REPUBLICANS/ #Evil"
"As we all know @realDonaldTrump is bat shit CRAZY......"
"Why do we put up with trump's bullshit / #Fucktrump"
"Lets make damn sure we give the cowardly republicans their big part of this too, republicans are guilty too..."
"America, what have you done @realDonaldTrump , this is how real racism is, SMFH"
"Just ask yourself why america put up with trump, then ask me about that damn anthem and flag/ #VietnamVet ..."
"You should be ashamed, I really would like to know, When you look in a mirror, who do you see? I really hope that you don't have kids.."
"@nflnetwork All three Chicago Bears Quarterbacks if you put all three talent together wouldn't measure up to @Kaepernick7 / #REALTALK"
"WOW, enough said, SMMFH..."
"Yeah, you racist pig, you don't want to open up that can of worms......."
"Why racist white people are so fucking dumb????????"
"Two words, FUCK HIM...."
"@#OFFSCRIPTon9 All these people who say Taking a Knee is disrespectful, don't want to know what the protest is all about."
"The true America Team will take a knee, been a fan for over 50 years, hoping #WeDemBoyz will do the right thing/ #TakeAKnee / #VietnamVet ."
"FUCK Steven Seagal, too many blows to the head...."
"Its amazing to me how many white people miss the point about Taking a Knee, but have no problem with nazi's marching in Charlottesville, VA."
"My bad, but sometimes you get so mad that your fingers goes faster than your brain....."
"All this is just proving the facts that Black people been says for hundreds of years, Racist america flag and all........"
"See these are the kind of people white america call hero's, wonder how many people of color this asshole let die......."
"Good hit Sherman, bring the Pound..."
"Lock these sons of Bitches up......"
"We need more Brothers to take a knee, we must help our own cause @NFL , there is NO excuse not to take a Knee/ #WhyNot"
"Thank you Brother....."
"Don't trust that ASSHOLE...."
"Grandpa you ROCK/ #VietnamVet"
"#Every Black person should take a Knee/ #VietnamVeteran"
"Oh, there were NO question she is RIGHT, he has showed the World who he is, a white supremacist, traitor, liar and the scum of the earth"
"RIGHT ON BROTHER/ #StrongerTogether"
"Indeed, I will be watching on Sunday, here's your chance to make a BIG statement.....my family will be taking a knee.."
"@nflnetwork @Nfllive360 @NFL If what trump said about Black players kneeling don't make you Kneel now, what will it take to make you Kneel."
"This asshole disrespected the flag when he committed Treason, are you kidding me, he have the nerve to say some bullshit like that/ #DOTARD"
"I'm with you, Fuck@kellyanne, will never respect that fat shit head....."
"@DonnieSimpson now that's real music @marvinGaye I don't know what that other thing was @kanyewest"
"Look like my dancing after 5 shots of Patron, my goodness, lmao,,,,"
"These assholes are american Terrorist/ #RealTalk"
"What a BITCH..."
"Everyone know sarah is bat-shit CRAZY"
"Too many blows to the head, with such a little brain, thats a problem......"
"LMFAO, what a dill weed"
"This is some sad shit, and you want us to respect these motherfuckers, SMFH..."
"Thats how white america operates."
"Brothers and Sisters protect yourself by any means necessary, because the police will not protect you...."
"SHIT, anybody with a half brain know why, its no surprise, the same reason why the cops get away with murdering Black people"
"LMFAO"
"I'm a Vietnam Veteran, father, and I am calling trump a White Supremacist, Your turn! G0! https:// twitter.com"
"Why are we waiting for white men to give us justice, it hasn't happen in 500 years, wake the fuck up, we have to make our own JUSTICE...."
"@tedcruz he's such a PUKE...."
"What trump have done is an impeachable offense, so STFU, he should be in jail now...."
"The Truth HURTS, and YES he is a white supremacist, Traitor, asshole and the pits of the earth, and everyone with a brain know this..."
"Damn, I thought this asshole was dead....."
"Well looking at her, I see why she is so miserable/ #justsaying"
"Than we need to protect our own, you know what to do, we've been fighting for 500 years, now we need to take it to the next level...."
"You better hope the woman you grab is not related or friends with me you fucking asshole/ #GrabMeMotherfucker"
"pic.twitter.com/iumlnc0dOS"
"I will say this, He's a better man than I am, I don't go around hitting people, but she would have gotten the FUCK out of my face/ #BOOM"
"We should start treating these assholes like terrorist, when you look at the big picture, thats what they are/ #Terrorist"
"So tell all the white people stay and you join them/ #ASSHOLE"
"I'm ready to fight for President Obama. sign me up/ #FORWARD"
"I hope we stand strong with the Black South Carolina lawmakers, if these racist assholes want a fucking fight, lets show them we can fight.."
"When they tell you who they are the first time, Believe them/ #FUCKSTEVEHARVEY @steveharvey"
"America is on life support...."
"Really, who gives a FUCK....."
"I have said this too many times, "What an ASSHOLE", My Goodness..."
"Best picture of the Month/ #KeepRocking"
"Most of these assholes don't know the law and they are police officers, if I was that Nurse, I would sue the hell out of him and dept.."
"BITCH PLEASE......."
"Can this kind of SHIT really be happening????? SMMFH...."
"Do this racist asshole know that we will declare WAR, we are not afraid of rising up..."
"Police Officer on Dash-Cam Video: 'We Only Shoot Black People' http:// a.msn.com/01/en-us/AAr2u Gl?ocid=st …"
"Headed out to his first day of kindergarten, ready to start a new adventure. pic.twitter.com/49jZaYwYCf"
"SHIT, I hope he tune in back in real soon, just saying....."
"As we all know, "What a bunch of DUMB ASSES, SMFH..."
"These guys are a bunch of the weakest assholes that I ever seen in my lifetime, got to go down in History as the most spineless/ #weakestmen"
"Fuck you asshole...."
"LMFAO, this about sums it up, MY GOODNESS..."
"@DonnieSimpson All HAIL @DonnieSimpson DAY IN THE DMV, Congrats my Brother, waiting for the Statue ceremonies in the DMV, enjoy your day.."
"As we all know, trump followers aren't too bright, they actually thought he would use his own money to build that wall, SMFH"
"Exactly, NAZIS NOT WANTED IN AMERICA...."
"Happy Chucky Baby Day in the DMV/ #ChuckBrown"
"THREE FUCKING YEARS, and they wonder why we are so mad,,,,"
"You got to know a lot of people is thinking the same thing, SAD, but so TRUE"
"LMFAO, now thats a good one..."
"LMFAO...."
"I hope he go to jail and meet Big BRUNO for his JUSTICE......"
"What an ASSHOLE, SMFH"
"Please RETWEET this over and over again..."
