"@Francine00100 ... https:// twitter.com/trmppncemkesen s/status/926593862700879873 …"
"Of course... Osama bin #Obama promised his parents at this #WhiteHouse visit that HE’d take care of it M’fker! #Trump ’s in the drk on lots pic.twitter.com/SZ0hdVKh87"
"Well Phil... Consider the”source”of her cred: #Faux #Indian #Pocahontas holds #Professorship at #Harvard So,”integrity” is non-existant pic.twitter.com/05SJRLNjMm"
"#JustLeavingThisHere ... #Hilldabeast the consummate #Loser Every #trickinthebook & still lost @BillClinton @ChelseaClinton @johnpodesta pic.twitter.com/dy3hSSENFu"
"We'll just have to wait & see, Deba #MuddyMueller still diggin in the dirt #ThePodestaGroup #UraniumOne #DonnaBrazile #DNC pic.twitter.com/pryJwgJ15p"
"Unfortunately U’r correct,Tressa! However... #Hilldabeast @HillaryClinton ’s STILL the #Loser @BillClinton @ChelseaClinton @johnpodesta pic.twitter.com/R2ssiyvO0I"
"BREAKING: #Mueller ’s Indictment may NOT stand since #FISAWarrant illegally obtained! http:// truthfeednews.com/breaking-muell ers-indictment-may-not-stand-since-fisa-warrant-was-illegally-obtained/ … @EjHirschberger @Trump_Girl"
"AND #Obama #politicized ,slanted, denegrated & tainted: #JudicialProceedings by THIS Long b4 U’r”prejudicial comments” as suggested by Atty pic.twitter.com/eikEhb2vuE"
"Plus, @SenWarren w/need a strong running mate as they distance themselves frm #Hilldabeast #LoneRanger @RepWilson w/make #FunTeam Smh pic.twitter.com/UrQ7nk4ggc"
