"Schmidt in Hochform - herrlich. Ich hol mir darauf jetzt gleich einen Negerkuß - legger"
"Tja, solche gehirngewaschenen Gestalten gibt es leider noch zu Viele, aber es besteht Hoffnung, immer mehr wachen auf"
"Immer wenn ein Politclown so etwas rausläßt, oder „die Renten sind sicher“, Spareinlagen sicher, etc, ist höchste Alarmstufe angebracht."
"Für die Statistik sind das ganz sicher voll integrierte Illegale mit Arbeit und Steuerzahler - jede Wette, so wird es verkauft"
"Die Abgewählte wird weitermachen bis D komplett zerstört ist - wenn sie nicht aufgehalten wird. https:// twitter.com/kalleskoppel/s tatus/926357912645140481 …"
"Wenn das Pack nicht bald unter Kontrolle gebracht wird, gibt das ne Katastrophe-politisch gewollt? http://www. freiewelt.net/nachricht/juge ndliche-migranten-bewerfen-autos-und-busse-mit-boellern-10072585/ …"
"Das ist zwar sicher richtig, sehen die Sparer aber genauso sicher anders. Die glauben ja immer noch, daß Geld auf der Bank gehört ihnen"
"Macron ist Rothschildzögling, der will an das deutsche Spargeld und die Abgewählte wird den Weg ebnen, wetten?"
"DAS war noch Geld"
"schon mit der ersten Illegalenwelle sind 300T "verschwunden". Das bedeutet, daß sich eine Armee von Illegalen hier aufhält - ungutes Gefühl."
"die AL-Statistik ist der Klassiker für: traue keiner Statistik, die Du nicht selbst gefälscht hast"
"Im nahen Osten hat sich das Mittelalter durchgesetzt- hier sind die Anfänge ebenfalls zu beobachten - wenn wir das zulassen"
"...paßt 100% zu den Berliner Politclowns"
"eben"
"Bei Wiki darf auch Jeder seinen Müll reinschreiben . Wer bei Twitter gesperrt ist, ist als Realist geadelt, das begreifen die noch."
""
"Nee, das sind Filialen"
"Wer so blöd ist einen Haufen Müll einzustellen, muß sich über komische Gerüche nicht wundern."
"Stimmt, wer diesen Quatsch glaubt, sollte sich umgehend in ärztliche Behandlung begeben"
"Islamisten sind Moslems, was auch sonst?"
"Ist doch ganz einfach- der Nachfolger tritt dieses Machwerk in die (richtige) Tonne"
"Toleranz als Einbahnstrasse führt ins Chaos. Erleben wir gerade"
"gute Idee, mach ich ab sofort auch"
"Diese "Richter" sind offenbar direkt von Freisler inspiriert."
"nicht mal so ungeschickt. Damit zieht er die EU in die Debatte um Demokratie und Selbstbestimmung. Die werden sich winden"
"Die Erde ist übrigens eine Scheibe ZDF-Politbaromater - is klar"
"….und massive Rückführung"
"Doch, allerdings ist der Islam keine Religion, sondern eine gewaltbereite Ideologie und Terrorbrutstätte"
"keine Umsätze, keine linken Schreiberlinge"
"Jahrzehntelange Gehirnwäsche wirkt eben nachhaltig."
"Populismus? Die Öffentlichkeit hat ein Recht zu erfahren was für ein Pack, durch Unfähigkeit der Politclowns, sich hier rumtreiben darf"
"Gute Frage. Kennt inzwischen Jemand das Ergebnis der Briefwähler? Hier liegt jede Menge Manipulationsmöglichkeit"
"?..und "Überhang/Ausgleichsmandate" verbieten. 1 Person, 1 Stimme, das wars."
"zu blöd?"
"Schon irgendwie köstlich"
"Die will was?"
"Na klar- die Kriegstreiberpartei ist besorgt. Schwachköpfe"
"die EU hätte gern Macht, hat sie aber nicht - und wird sie auch nicht bekommen."
"Ich will lösen - Idioten? Ist das einzige was wirklich paßt."
"Kann man so sehen - is aber halt Kacke. Was zählt ist Volkes Wille, nicht der Politikerwille. Der Konflikt ist 300 Jahre alt."
"Beeindruckend einfach, beeindruckend wahr und klar - Jeder sollte darüber nachdenken. https://www. youtube.com/watch?v=lYmrGW 1MlA4 …"
"Bekannt, aber absolut aktuell. Nur Gutmenschen wollen das nicht verstehen. https://www. youtube.com/watch?v=YsRQNu 9Jg7k …"
"ich frage mich das Gleiche inzwischen täglich"
"Schickt solche Pfaffen einfach zum Teufel"
"wer will denn sowas? Würde auch niemals klappen"
"ahja und wie?"
"Doch, kann es - Völkerecht, Art 1"
"wegen massiver Behinderung ( bis zu Schüssen auf Wähler) der spanischen Polizei."
"Die Genderidioten haben schlicht nicht alle Nadeln an der Tanne"
"Ist halt blöd wenn sich der schöne Selbstbedienungsladen auflöst"
"Bevorzugt Grünen-Wähler - oder? https:// twitter.com/gxxxorwell1984 /status/923775689433796608 …"
"Das entspricht dem Heimatgefühl - sozusagen heimische Deko"
"—und im Großen heißt das Spiel Globalisierung."
"Es hat und wird nie klappen unterschiedliche Volkswirtschaften in eine Währung zu pressen - wie auch?"
"Was für ein Blödsinn"
"na und, das ist doch völlig schnurz"
"Das Volk hat entschieden-das ist zu akzeptieren. Der Konflikt ist seid 300 Jahren am schwelen. Spanien hat nichts gelernt."
"da ist was dran"
"laß bloß die Finger von den Drogen"
"ok, Parteien, das ist zusammen mit den Medien inzwischen ein Kartell"
"Was dieses Merkelzäpfchen meint ist: ging es Deutschlands Politikern nie besser"
"Zufälle gibt's"
"Das werden die auch bleiben lassen. Hofberichterstattung, vertuschen, verschweigen, verdrehen- das ist die Aufgabe der Systemmedien"
"die CDU ist soweit links, das sie den Platz den sie der AfD frei gemacht nie wieder zurück bekommt. Die Leute wählen das Original #AfD"
"Wie war das gleich: wer halb Kalkutta aufnimmt hilft nicht Kalkutta, er wird Kalkutta https:// twitter.com/bedb_puetz/sta tus/923557129130213376 …"
"Journalismus - im Sinne des Wortes gibt es , zumindest bei den MSM schon lange nicht mehr - nur Hofberichterstattung"
"Ich bin Urberliner, aber leider ist es so - schon länger."
"was ist das denn für ein Schwachsinn. Islam ist keine Rasse, sondern eine menschenfeindliche Gewaltideologie und gehört nicht nach D"
"Deutschland 2017 !!! Dieses Land ist erledigt falls sich nicht ganz schnell was ändert."
"schöne Aufgabe für Journalisten, die noch echte Journalisten sind. Gibt ja kaum noch welche."
"damit ist wenigstens klar, daß dieses Trio nicht die Täter sind, wie sie der Öffentlichkeit präsentiert wurden. False flag trifft es eher"
"Das ist mit der Autometapher schon sehr gut beschrieben. Nur eine Frage der Zeit bis der Motor platzt"
"Da gibt es nicht zu überlegen - da ist Fakt. Google hilft."
"Ahnungslos ist der klebrige Claus keineswegs - und genau das macht es so perfide."
"Roth kennt nicht mal das GG, (hat sie bewiesen). Das Einzige, auf was die steht, sind ihre monatlichen Diäten"
"tja, da müßten täglich 50000 vor dem Kanzleramt stehen und den Rücktritt von der ohnehin abgewählten Kanzleuse fordern- dann wird das was"
"Ich bin auch ganz überrascht"
"Nazis waren links, die AfD ist konservativ. Die heutigen Nazis heißen Antifa"
"Die Nazis waren Linke,genau wie Du. National SOZIALISTEN. Linke waren schon immer das Grundübel.Heute heißen die Nazis Antifa,Methode gleich"
"Die #JamaikaKoalition ist eine geschlossene Front von Antidemokraten"
"..auf der anderen Seite- was soll jemand wie Roth sonst machen, kann nix, IQ auf Höhe der Raumtemperatur, da bleibt nur alimentieren"
"das ueigt die Arroganz gegenüber dem Volk. Nur das Volk kann das ändern, am 24.9. wurde der 1. Schritt getan"
"genau so ist es. Mal abgesehen von den AfD Kandidaten sitzen im BT ausschließlich Antidemokraten."
"Muß ein Lückentext sein: es heißt- den Menschen IN DER REGIERUNG ging es noch nie so gut."
"paßt auch viel besser zu den ganzen schwarzen Nullen, die dort sitzen"
".....und diese Niveau ist derzeit sowas von unterirdisch, daß an jedem Demokratieverständnis der Altparteien gezweilt werden muß"
"https:// twitter.com/sm100d/status/ 922450807634780160 …"
"Was für ein Schenkelklopfer pic.twitter.com/h22Oy9KB75"
"Die Tschechen haben nicht Protest gewählt, sondern Die, die garantieren, daß Tschechien Tschechien bleibt und keine arabische Kolonie wird"
"Linke wie man sie kennt ohne Hirn, aber gewaltbereit"
"Auch so ein Blitzmerker"
"der grüne Kriegstreiber Fischer ist genau der Richtige Mit Verlaub - Fischer ist ein Arschloch."
"was für bekloppte "Richter" sind in D eigentlich tätig?"
"ahja NSU - an 27!!! Tatorten, auch bei den Morden, gab es nicht die kleinste DNA Spur. Das schaffen nicht mal Profis. Merkwürdig, gell?"
"die fackeln doch ihre Unterkünfte in der Regek selbst ab, zumindest in den allermeisten Fällen"
"Nee, Menschen umbringen - das sind Linke - angefangen v d Mauermördern, bis Schleyer , etc."
"Das geht, wie man sieht, super - jedenfalls bei linken Pappnasen"
"Da muß doch keine Täterherkunft genannt werden, die ist sonnenklar"
"Drehhofer wird sich an einen Tisch mit den Grünen setzen weil ihm die Eier fehlen es nicht zu tun"
"Das ist doch bereits voll im Gange. Berlin, HH und Duisburg sind nur Beispiele"
""
"gut so, wenn es so kommt"
"Rücktritt? Die heutige Politclownriege stellt sich hin und sagt. Ich weiß nicht,was ich anders machen sollte, oder: Wir haben verstanden"
"Sollte Jamaika kommen, touchiert er im nächsten Jahr die 35% Marke - und das wäre gut so"
"Deutscher? ja klar."
"Je mehr Leute vom Schlag des tauben Peter in der CdU sind und bleiben, je weniger glaubwürdig ist die Partei, also alles ok. #AfD"
"Mit Nahles wird das Projekt 10% in greifbare Nähe rücken. Volksparteien gibt es übrigens schon länger nicht mehr"
"Kahane wird sicher die Tage wieder öfter zu sehen sein - ist ja bald Halloween, ich glaube bei mir flog sie auch schon rum-mit ihrem Besen"
"alles rääächts was nicht stramm links ist - kennt man https:// twitter.com/susi_sorgenvol l/status/920336598348247040 …"
"So macht man das mit der grünen Pest :-) https:// twitter.com/korrektheiten/ status/920336647195058176 …"
"Deutschland 2017 - jedes kriminelle Pack wird hier gepampert https:// twitter.com/korrektheiten/ status/920336654132436993 …"
"Das Parlament ist eh ein Parlament der "gesetzten" Abgeordneten, nicht der vom Volk gewählten. Das ist ein Kaperletheater,mehr nicht."
"Ja sicher"
"Sogar die Einzige im Linksbrei"
"Doch, sie hat nur den Namen geändert, mehrfach"
"DAS ist die FDP, wie man sie kennt. Wie eine Fahne im Wind. Umfallerpartei, Mehrheitsbeschaffer gegen Posten"
"Wir hatten die Chance am 24.9. - und an mir hat es nicht gelegen"
"Sagen wir mal so: Idiotische Justiz spricht sie ihnen zu, bekommen werden sie die nicht. https:// twitter.com/hartes_geld/st atus/919160665989963777 …"
"Surprise, Surprise"
"Das war doch klar. Es regiert ein grüner Kommunist. Wer sowas wählt ist selbst Schuld"
"Das ist der Punkt, staatliche Schulen und Kitas sind Verblödungseinrichtungen und zwar gewollt"
"Viel Feind, viel Ehr Linke Spinner können gar nicht anders, ernst nimmt sie eh kein selbstdenkender Mensch"
"Da reibt man sich die Augen. Illegale, also Gesetzesbrecher erhalten Schadenersatz wenn man ihre Tat ahndet. Die EU muß ganz dringend weg."
"Da war doch was-ich komme gleich drauf,ist lange her,so in der 30igern. Antidemokraten sind kartellmäßig organisiert,nur ihre Meinung zählt"
"Konsequenzen? KEINE - bei NIEMANDEN ! Das ist Deutschland 2017"
"Langfristig ja. Es muß aber auch kurzfristig was passieren"
"Im Namen des Volkes muß dringend in: im Namen von Merkel & Co geändert werden, sonst ist es Beleidigung des Volkes"
"Das sind keine Richter, die bezeichnen sich nur so. Das sind Systemvasallen."
"Ich vermute, die verknacken die Illegalen nicht, damit nicht bekannt wird, daß zig neue Gefängnisse gebaut werden müssen wegen d Goldstücke"
"Ist der "20Jährige" denn schon wieder aus dem Lachkoma aufgewacht?"
"Wer mit den Grünen "regieren" will, verrät das Land. Die gehören versenkt, oder um PC zu bleiben- rückstandslos entsorgt (Gabriel)"
"Das muß Merkel unter dem Kopfkissen haben. Die meisten Punkte sind schon abgehakt"
"irgendwann reduziert sich das dann auf singen und klatschen, ab da werden sie dann behaupten - Integration gelungen."
"Dann sollten die Polizisten was dagegen tun, z.B. geschlossen mal für eine Woche den Dienst einstellen. Aufmerksamkeit ist garantiert"
"Haben die bei der Polizei nur noch Platzpatronen? Eine ins Bein und gut is. Anschließend sofort ausweisen."
"Der Typ hat immer noch nicht erkannt, daß die AfD den Platz und die Lücken besetzt hat, wo die CDU mal war, bevor sie links wurde."
"Vor allem wird mit dem "Klimawandel" Kohle gemacht - nur 1 Stichwort:CO2 Zertifikate-Handel. Der Schwachsinn in Reinkultur"
"Sozen haben schon immer mit gespaltener Zunge geredet. Nach wie vor gilt: Wer hat uns verraten, die Sozialdemokraten"
"Die, die Keiner gewählt hat. EU muß weg, EWG wieder her und eigene Landeswährungen. Das hat funktioniert"
"Vorbei? Was soll der Scheiß? Mit der abgewählten, am Sessel klebenden Kanzleuse ist nichts vorbei, im Gegenteil."
"Da war doch was...ach ja , es wird gewählt in Niedersachsen"
"Da gibt es nichts zu streiten. Den bildungsfreien, grünen Deutschhassern glaubt eh Niemand. Die Grünen werden in der Versenkung verschwinden"
"sehe ich auch so - gute Werbung für nicht linksversiffte Verlage"
"Top Artikel, lesenswert.Aus meiner Sicht hat die aktuelle Parteienstruktur längst ausgedient.Die AfD kann das Kartell zerschlagen #AfDwählen"
"Heimat ist ein Begriff nationaler ID und Zugehörigkeit. Euch Heimatfeinde braucht hingegen kein Mensch."
"Wenn irgendwo auf der Welt ein Vulkan ordentlich hustet, hat das mehr Einwirkung auf das Klima, als der Mensch es jemals vermag."
"Das dürfte eher sehr konservativ gerechnet sein."
