"Потому .что он действовал не против России и не в её географических широтах!"
"Хохлы молятся на "отрытие второго фронта" в Чечне! Отсюда всё их хохлодрочанье на ичкерийство! В том числе на Окуеву-Никифорову."
"Зарплаты можно оставить прежними,а вот цены тогда нужно опустить в 3-10 раз и зафиксировать!"
"Кому война,а Авакову - мать родна!"
"Джигурда и Украина - равнозначно ебанутые явления! Они созданы друг для друга."
"Всё-таки зря голливудская кинобратия так дружно топила против Трампа!)))"
"У них там ещё крёстный мэр охуенный!"
"Реальное лицо революционно-еврейского геноцида русского народа!"
"Гитлеровцы,оуновцы,троцкисты,басмачи,бандеровцы,лесные прибалтийские "братья",колчаковцы,красновцы,кулаки,диседенты и прочие - жертвы?"
"Украинские десантники сами себя аннигилировали - согласившись на госпереворот и участие в карательной акции против народа!"
"Извинились уже?"
"Анна Семенович!)"
"Ну ещё бы,ВОСР принесла социализм не только СССР,но и странам Запада! Только без госпереворота и кровопролитной гражданской войны."
"Как бы нам поучиться у Венгрии обращению с "небратьями нашими меньшими"?"
"Я уж обрадовался,что подписан указ об отставке Мединского!... Печалька..,будем ждать."
"Пучдемон - пошёл-ка ты вон!"
"Как раз наоборот,власть не сломалась под напором террористического шантажа!Сохранило государство,спасло людей! А иуда Гриша - пнх!"
"Испания - унитарное государство!В Мадриде не было госпереворота,не убивали каталонцев и не запрещали их язык и автономию."
"Как может быть в стране государственным праздником - день госпереворота?"
"И уж тем более,нет ни одной причины для нашей радости."
