"Smart Man"
"That's sick"
"Congratulation"
"God Speed Mr President"
"Never heard of him"
"Fornication are us Western Cultural has influence Japan to much."
"Very true"
"Hip strain or just shame."
"Why didn't you report Representative Al Green accused of sexual assault on Ms. Lucinda Daniel"
"So have you settle with Lucinda Daniel for sexual assault and want about the 300,000.00 you forgot to report to your campaign fund."
"Not surprised it's Tulsa Oklahoma"
"Acts 23:5 for it is written, Thou shall not speak evil of the ruler of thy people. KJV"
"Fake News IMF wants their money back where can they get the money."
"CNN"
"I'm not surprised"
"Yeah he's a blackman!"
"The big bankers don't own you that's the beef."
"He the one who should be on trial."
"You going to go along for the sake of the Big Bankers and the last time I checked what have you done for Baltimore"
"See Spot Run"
"Don't do drugs find Yahweh it is for loser"
"Exodus"
"pic.twitter.com/ta3bcJDGmd"
"Wolf Fake News CNN a network you can trust."
"But I come to thee in the name of Yahweh the armies of Israel, whom thou hast defied."
"https:// youtu.be/EzY_h6OpnoQ See Spot Run"
"https:// youtu.be/REPFH2V_EYo Fake News Are Us"
"https:// youtu.be/JshARrVS_Q4 What Frank Zappa thought about CNN and media news pic.twitter.com/7wBsixQOHA"
"Thank Fake News CNN and MSNBC and CBS and ABC and Fox."
"If, General Flynn hasn't been convicted of a crime how is it obstruction of justice( intent to help the person avoid arrest or punishment."
"Then you have 53,000,000 black Americans"
"CNN Fake Agenda like they real care about the racist issues."
"Her come CNN racist lies."
"Yea right"
"Stick together under the Ensign"
"Well he has all of the House Negros Congressman and women just like CNN like we sick boss."
"The Great Gatsby"
"https:// youtu.be/XDM1bZz3gQk We'lleh Shemoth Exodus"
"The most evil mentioned in America."
"Exodus"
"Was feared for telling the truth about God."
"We haven't sold our souls yet to have a job."
"Nixon was authorized break in and was using the IRS as a form of intimidating his enemies. President Trump has allegedly did something wrong"
"See Spot Run weapons if mass destruction and now their two black parents who only son was killed in the invasion of Iraq give me a break."
"Will not watch until a Welsh man play Arthur"
"It's the Hebrew way"
"Now how could you believe anything the FBI says concerning truthfulness by what they did to civil rights."
"You Republicans better not but your tail between you legs and run! Who's running America you or Fake News Media mad about the election."
"BS"
"By who standards Fake News Corporate Media who has push a agenda of lies and deception to pull Americans into that New World Order."
"Old black magic"
"The Media can destroy anyone so quick listening to the Fake News, Comey has notes like what he doesn't lie. He's the need to be investigated"
"You mean that let's pull out all Black Football Players see how much money you lose we not dumb! pic.twitter.com/6ibRbpcM2T"
"Fake News"
"San Antonio Spurs sweep you when you coach the Cleveland Cavalier let see who laugh last."
"Only Yahweh has that right play with him at your own perils he's very much real. CNN think they have knowledge about the Bible See Spot Run"
"Please give me a break See Spot Run gave we get some work done in Washington and quick listening to Fake News CNN I'm scared to lose my Job."
"So what?"
"Please, two out of a million you have to look at the complete spectrum concerning racism. Uncle Ben has never cause fear towards whites."
"Did you ask President Trump"
