"Какая оказывается мразь, подстилка. "Святые 90-е""
"А продавшиеся западу руководители образования РФ продолжают болонку.Не учить мыслить, а учить как ПДД. ПОД ЭТОТ ЗНАК МОЖНО,ПОД ЭТОТ НЕЛЬЗЯ"
"Читать умеешь? "Соединение двух культур... акцент на дружбе народов, а не на противопоставлении"""
"Спасибо, напомнило детство.Мама с подружками такие рулады выводила.Заслушивался.А сейчас всплакнул.Мамы уже нет.Только чётко слышу её голос."
"Перед "Калинкой-малинкой" в исполнении Маши Захаровой ни один гггопак не устоит!"
"Приiхав бандерык вна Севастополь, посмотрел, как город преобразился поел гарбуза и чуть не сгорел. Сейчас лечится, яйца пришили от ишака"
"Это хорошо, меньше спать будут на заседаниях. И стало ясно всем, если Наташа за кого то возьмётся, мало не покажется..."
"Наконец то Наташа занялась делом. Собчак же сама под статью влезла. Пора её закрывать. Пусть за проволокой выступает."
"Удачи Вам, сестрички!"
"Точно, полиция украины - молодцы, задержали бандеровца! Теперь приговор - посадить на кол его, на линии разграничения с показом по тв."
"Твоё свободное право закурить это УЖЕ ИСТРЕБЛЕНИЕ некурящих.Почитайте документы ВОЗ,ск.пассивных курильщиков ежегодно умирает от рака лёгких"
"Эта наша защита "единая", но не Россия, а ОПГ."
"Так эхо само по подсказке из-за океана организовало это.Выборы скоро,о себе напомнить. А то это эхо никто кроме дяди сэма и либерасни не слу"
"Надо сначала предлагать чем заменить. А "весь мир до основанья" уже разрушали. Умники. Пишете фигню для сбора лайков."
"Давно пора!"
"Нееет, казахского!"
"Бу - га - га! Какая самоуничижительная характеристика! Не любишь ты себя, Сашок! Потому, что интуиция нулевая. Всё, надоел выкрест немецкий."
"Америкосы ненавидят страны с историей!У них есть достижения,только уничтожение миллионов коренных жителей,поэтому уничтожают древние народы"
"Какой тонкий юмор! Как там у вас в куеве?"
"Мальчик, ты похоже не любишь читать, веришь в политические сказки..."
"М У Ж И К И! ! ! Б Р А ВО ! ! !"
"Мужик, ты за николашку КРОВАВОГО? Ну почитай историю! Ск. Этот так называемый "святой" русских жизней загубил! Ни за что..."
"На страже кого? НИКОЛАЯ КРОВАВОГО? Сколько же у нас в стране ЮРОДИВЫХ!"
"Бандеровец! Геть звидсиля!"
"Историю надо изучать по первоисточникам, а также знать и различные коменты"
"Народ надо отвлекать от работы правительства, роста цен, поддержки врага нашими деньгами, реформ здравоохранения и образования..."
"Любит ксения сосать, средний "палец".."
"Ну почему же? Депутат госдумы, подававшая надежды борется с фильмом о николае кровавом..."
"Его бы слова, да богу в уши! Но бога нет, а царь не решится..."
"Случал и читал мнение Джанибекова - фильм оказывается поделка под голливуд. Не пойду смотреть."
"Сдаётся мне, что ты потомок николая кровавого, голубая немецкая кровь?"
"Давно пора, а то развелось у нас собачников!Правила содержания не соблюдают.На дому разводят,налоги не платят, водят без намордников,поводка"
"Нам дума вообще не нужна. Посмотри, кто там и что они делают. Думаешь в новой будут умники умницы?"
"Вот тебя надо и люстрировать в первую очередь, головой в унитаз..."
"А я не хочу, что бы воры решали всё. Чтобы укравшие млрд сидели дома, - васильева итд, чтобы деньги отвозили в америку..."
"Какой народ? Кучка полоумных?"
"Точно! +500%"
"@vesti_news вести24 - отечеств продукты,особ овощиПОДОРОЖна20-60% и пригласили маркетолога.Тот- это НОРМ! А ПРОДАТЬ ДЕШЕВЛЕ НЕ БУДЕТЬ ГНИТЬ!"
"Выучи укроязык, пишешь на суржике, нищета"
"Москва - столица МИРА! СИРИЮ не дали уничтожить как Югославию, Ливию, Ирак и тд, более 40 стран"
"К сожалению, укры уже наполовину исчезли"
"Наши ракеты "Калибр" в прошлом месяце показали, кто кого перегнал. От вас скрывают,что в мире творится. У нас на на тв Ковтун с гопкомпанией"
"Не волнуйся, запад уже сдриснул. Европа скоро присоединится!Прав тот, кто сильнее.А РФ сильнее. Трамп выпустил70 томагавков, а мы их утопили"
"Какая же ты глупая! Почитай, что ты "писяешь". Смешно и жалко..."
"Я бреюсь, почти каждый день. Гуцулов отдать полякам!!!"
"Так и есть интегруеться и будет называеться Малороссией.Всех бандерофашистов на КОЛ! А ЛЮДИ ЗАЖИВУТ НОРМАЛЬНОЙ ЖИЗНЬЮ. Пока янки не слопали"
"Журова защищает предателей, олигархов-ворюг, чинуш-ворюг, прочих манагеров с "талантливыми" на воровство у народа, те государства..."
"Это супергерои либерастов и предателей,типа Ельцина,Горбачёва и рождённых ими "оливоров".Наши Ильи, Добрыни и Алёши, сейчас Сирии помогают!"
"Одно слово - либерасты. Союз за 30 сребренников развалили,Россию пытаются развалить, по карманам распихать.Когда же их как блох - на ноготь!"
"Малороссию в границах Российской империи!"
"Родина! Как ты красива!"
"Начали расширять Калужское ш, думал для москвичей МЕР старается, ага, дорога то для свалки, чтобы отравить москвичей окончательно"
"Срочно!!! Покажите Медведеву, а то человек не знает, чем прославиться... то календарь, то лампочки, мельчит..."
"Это надо обязательно главному нановору показать. Нарисует чертёж, млрд получит и поделится, как советовал Лифшиц..."
"Круто, однако! Но... в центре не хватает учёного мединского и его покровителя Димона. Или они пилят эти млрд и сваливают на Гоголя?"
"А толку то? А СК возбуждает? И благополучно закрывают."
"Кто у нас думы думает?Ужас!ПочитайПервоисточникиДопуск есть,кто такой николай КРОВАВЫЙ!Ск.РУССКИХ жизней он просто так, как ворон уничтожил!"
"Идиоты! Монарх приехал решать судьбу стран Бл. Востока к Путину! Вдумайтесь, не к пиндосам. И закупает НАШИ С400 И ПРОЧ НА 3млрд!"
"Вна Украине изобрели "боевой гопак". Наш ответ на боевая, крутая "Калинка" в исполнении Марии Захаровой. Ей никакой гггопак не страшен!!!!!"
"Ей и коров доить не надо, сама 30л в сутки даёт"
"Замечательно! Надо этот твит отправить всем "поручителям""
"На американцев трудно по другому смотреть нормальным людям..."
"Советую повеситься, чтобы не мучиться..."
"Зарабатывает у янки гранд или отрабатывает, уже отдался"
"Твит соответсвует аве - тупая обезьяна пляшущая под дудку дяди сэма"
"Не украинцы конечно,а фашиствующая бандерня.Народ запуган.На руках-тыс ед огнестр оруж.Везде банды.Порядки почище 90х парашня ничего не може"
"Либерасты имеют наглость до сих пор наступать, перевирать факты..."
"Наташка заставит всех молиться на Николая кровавого. А в найденых могилах оказывается не царская семья, ДНК, как проверили японцы, не та..."
"Только кто верит в этот рост кроме Димона? И остальных небожителей?"
"Ничё се амёба, изменил "методику расчёта" и цены продолжают расти, а эконимика оказывается начала сразу рост. Ай да спец, крутой "считатель""
"Ещё есть зряплата - депутаты, чиновники, особенно те, кто начисляет себе миллионы ежемесячно..."
"Точнее будет - ПШЕКИ,,,"
"Кто оправдывает воров? Кому это выгодно? Кто направляет и дирижирует? Не является ли это частью похода Запада на Россию с целью её уничтоже?"
"Филя армянин! Но стесняется этого, выдаёт себя за Гейропейца-болгарина! Армяне его не терпят, кроме обозревателя МК ГАСПАРЯНА."
"Бизнес FM настолько не насмотрелось на вагины и пр, настолько тупо руководство... На днях подняли визг по поводу ЛГБТ шарашки К. Серебр."
"Всех причастных к финанс-ю Серебр и подобных,строго спросить, по СТАЛИНСКИ!Вор должен сидеть - работать на лесоповале.Имущество конфисковать"
"Класссссс! Гоголь центр отстаёт"
"Точно!!!"
"сбу до сих пор не назначило виновного?Опыт у сша большой,особенно в последнее время.Пора уж поделитьсяУбандерофашистов сбитые пасс самолёты"
"Наташа, а как вам спектакли в Гоголь центре. Леди Кац поместила фото. По моему это в 1000 раз круче Матильды. Оскорбление нравствености нар"
"Чем больше таких поддержек, тем быстрее укры прозреют, кто не подохнет поддерживая парашу..."
"А по 2р 87коп?"
"Дмытро заТымчук, ну и грамотей."
"ХА-ХА-ХА гумкови кылымкыГвынтокрылыЗападеньска моваВзращённая янки для уничтоженияУкров,убивания русских на Донбассе. Но пара солнцепёков и"
"Олэксан бабак - провокатор и врун. Дети Донбасса УЖЕ года сидят в подвалах. Пока параша с кликой набивает карманы УВОРОВАННЫМИ у самостийных"
"Отрава! Пусть изобретатели - янки? Сами жрут эту гадость!"
"По вестям24 идёт фильм о результатах указания Медведева о обязательном использовании "энергосберегающих", отравляющих всё вокруг ртутью ламп"
"За что и получаю..."
"Вот это да! Я ещё даже не прицелился, а уже попал? Понравилось?"
"Сеня, какая то ты слишком голубая..."
"У тебя 4 ХА, у меня три. Так что, извини, проценты будут в следующий раз..."
"Верю в ТОЧКУ сингулярности, большой взрыв, храню в тумбочке кусочек метеорита... ХАХАХА..."
"Свежо предание. А сколько лет существует пословица: " на бога надейся, а сам не плошай"? Я бы сказал ... бесы бессильны перед силой..."
"Не надо мешать толерантным самоуничтожаться, освобождать территории. Надо готовиться их занять, перенять всё лучшее. А то желающих хватает.."
"Владимир Ильич создавал Федерацию с "правом наций на самоопределение""
"К сожалению, действительность, и ответственности не несут..."
"За это можно сажать лет на 5, там лахудры её научат Родину любить"
"Подписал отречение? Подписал! Развалил страну?Собак и кошек с воронами любил стрелять. Народ уничтожал? Что заработал, то получил."
"Образование обязательное, социальную заботу. Не было всё идеально. Захотелось отдельным стать князьями,графьями, им и помогли - ельцину и пр"
