"2 , It's about time we shut racism down in this country. This will all end when police are held accountable for killing innocent Blacks."
"I wouldn't trust ANYTHING the GOP set up, because it's a SET UP! Why would anyone trust snakes with their health?"
"Find the white men who are distributing guns and drugs to black n brown communities."
"Poor albino giraffes , born without their beautiful brown design. Sticking out like a sore thumb."
"The military, too many bases around the world, too many WARS."
"The Governor should be criticized for not believing in Climate Change and for wanting BIG GOVERNMENT to help them now. #stupidRepublicans"
"Watching the US trying to bully North Korea, I wonder if Iran regret the Obama deal."
"Like I've been saying, no need to worry about ISIS. We have our domestic terrorist to deal with."
"The US should stop the propaganda about North Korea. I just checked the world periscope & someone in North Korea has a fat cat. #NOTSTARVING"
"Out of ALL the men that were beating the kid, this is the only one they arrested, let that sink in."
"A man who never served nor his children, but will send yours to kill or be killed. Let that sink in."
"Trump is getting credit for Obama's economy, Trump didn't even pass a budget for Pete's sake!"
"Thank The Most High this man is alive. Just think of how many were executed & were innocent. #MarcellusWilliams"
"You could be on to something, the moon never appeared after the eclipse!"
"There are 10 army bases in the US that are named after Confederate generals whom lost the Civil War, let that sink in."
"This guest don't have a clue."
"Has there ever been a time when the U.S. wasn't at war? A time when Caucasians wasn't destroying nations?"
"War on Afghanistan, Libya, Syria, Iran, Iraq, North Korea? This looks like global genocide."
"Calling all Africans and descendants of Africa, read ALL ABOUT IT!!!"
"Jesus was an Israelite from the tribe of Yahuda, not Jewish. He was black with wooly hair, let that sink in."
