"pic.twitter.com/PZEd5xSg8U"
"https:// ekburg.tv/novosti/obshhe stvo/2017-11-03/mikhalkov_podderzhal_voron_zakidavshikh_elcin_centr_kamnjami?eml …"
"Вы внимательно еще раз почитайте, что написано. И притом, минимальный и максимальный размер пенсии зависит от региона. Суммы указаны неверно"
"Согласна с Вами !!!"
"Твари"
"Прежде всего далжно быть самосознание"
"Удивительно будет, если кто то из них, на митинге возьмет уточку и будет крякать, что "плохо живется и что обворовали""
"Провокация"
"Глава РФБ Кириленко поддержал дисквалифицированных российских лыжников https://www. gazeta.ru/sport/news/201 7/11/03/n_10772906.shtml …"
"Такие страсти )"
"Собаки, тем более бойцовской породы, не должны и не могут сидеть сиднем дома. Тупые хозяева и Россия тут не при чем."
"Сколько людей должно еще пострадать, чтобы собачники начали соблюдать элементарные правила выгула собак. Поражает преступная безалаберность"
"Военное преступление: Россия обвинила США в создании базы боевиков в Сирии‍: https:// ria.ru/syria/20171103 /1508134979.html …"
"Смелый поступок, можно сказать мущинка )"
"Насильно никого же не заставляют смотреть, кто хочет тот и ходит, и, кстати, немало людей интересуется"
"Однааако"
"А какой штраф???"
"Ой и впрямь, достааааалии"
"Бедолажки, вот бы так в очереди на работу постояли ))"
"Доброе утро!! Взаимно pic.twitter.com/OuG8qN1Dc2"
"Раньше хотя скрывали свои грязные похоти, а теперь чуть ли не гордятся радужными "ценностями" Противно все это"
"Повезло ей, что она вообще встать смогла"
"НенаблЯдай а действуйте, а то сидите в окошко зырите 60 лет"
"Вот все их ценности в этом Мире )) дурдом"
"Я тоже"
"Не надоело, может хоть запомните и не будете хрень нести"
"Уральскую Шамбалу на горе Качканар объявили сектой | ОБЩЕСТВО | АиФ Урал http://www. ural.aif.ru/society/sverdl ovskih_buddistov_na_gore_kachkanar_obvinili_v_sektantstve …"
"https:// ekburg.tv/novosti/obshhe stvo/2017-11-03/zaksobranie_zabralo_v_sverdlovskuju_kaznu_pomeshhenija_elcin_centra?eml …"
"Армия Сирии установила полный контроль над Дейр-эз-Зором: http://www. rbc.ru/rbcfreenews/59 fb9f2d9a794709843c0163 …"
"Нет, не добавила )"
"Опять они же, в той же компании, только в других костюмах."
"И как всегда никто ничего не знал, не ведал и после того как все умыкнули начнут дела возбуждать. Зашибись, но так противно"
"Со своими бы учебниками разобрались, особенно по Истории"
"Неужели больше заняться нечем, или думают, что если смуту затеют то отсидеться в тишине получится."
"Сталин был патриот и сыновей он не прятал по заграницам,а отпустил на фронт сражаться с фашистамиОбливают грязью но не говорят о достижениях"
"Животные"
"pic.twitter.com/rrU3IwfoEZ"
"Пи@@абол, сиди под лавкой"
"Российские бомбардировщики Ту-22М3 нанесли удар по объектам ИГ на востоке Сирии — РТ на русском https:// russian.rt.com/world/video/44 5684-bombardirovschik-udar-siriya-terroristy …"
"Упыри из фильма ужасов"
