"goodnight"
"I need to make groceries I’ll do it Saturday morning"
"Danielle cutting up #RHONJ"
"Melissa and Joey have always been my favorite #RHONJ"
"I’m definitely a fan of Margaret #RHONJ"
"Siggy and Delores get on my nerves #RHONJ"
"#RHONJ"
"I wanna book this room, I’m still debating on what I wanna do"
"Why is the 24th the most expensive day to book a room for Bayou Classic"
"Thank you that would definitely help me"
"I want a pink champagne drip cake , I gotta decide what black baker I wanna try"
"I definitely want a birthday this year, a unique cake."
"November 26 pic.twitter.com/X5mZgEiEcY"
"I can’t believe I’m turning 27 , I’m getting older. pic.twitter.com/IucT53WiIX"
"Catching up on #RHONJ"
"Birthday coupons coming in already! pic.twitter.com/3QjzfJOJFx"
"I really want a bob for my birthday"
"#NowPlaying "Lemon" by N.E.R.D, Rihanna in @TIDALHiFi https:// tidal.com/track/80704541"
"Congrats !"
"I really do need a makeover, I want my hair colored and lord knows I need a trim"
"My horoscopes are very accurate"
"#NowPlaying "It's My Time" by Kelly Price in @TIDALHiFi https:// tidal.com/track/55742101"
"I wanna decorate the house in Christmas decor"
"I hope my tripod arrives on time Friday"
"25 days ...."
"For #blackish to use the scene from Belly"
"#blackish"
"October was a great month,I know November wil be even better ! pic.twitter.com/O5De5yrUVT"
"I want a bag of chocolate"
"Bailey is so adorable in her costume"
"Keeping my crossed, I hope I passed the assessment."
"gumbo and pound cake"
"!"
"Just got @BahiCosmetics in the mail so excited !"
"Tailgating this football season sucked, got rained on for homecoming and jstate game."
"November is almost here! I need to start figuring out what I’m gonna do for my birthday"
"#NowPlaying "Something In My Heart" by Michel'le in @TIDALHiFi https:// tidal.com/track/3029251"
"So precious, Tiara way in the back"
"31 days ...."
"#NowPlaying "Don't Be Cruel" by Bobby Brown in @TIDALHiFi https:// tidal.com/track/36299662"
