"Познавательный бомж-интеллигент https:// twitter.com/leprasorium/st atus/926393541915488256 …"
"То тебе очереди за одним не нравятся, то за другим. Одна, наверное по-душе: очередь паровозиком пидоров, как и сам. https:// twitter.com/StalinGulag/st atus/926083188367282177 …"
"20 млн рублей, 600 тысяч евро и 20 тысяч долларов - всю жизнь мама собирала на машину сыну."
"Не делайте мне больно, господа!!!! https:// twitter.com/tass_agency/st atus/926384679611174912 …"
"А чему удивляться,когда пидоры вокруг да нацики малолетние у неполживого Гапона в друзьях. https:// twitter.com/anatoliisharii /status/926359126891991041 …"
"Садов, чертогов полукруг Открылся предо мною вдруг! Как часто в горестной разлуке, В моей блуждающей судьбе, Москва, я думал о тебе!"
"Петушок в казачках однозначный лидер среди куриц. https:// twitter.com/zedolazer/stat us/926164064794968065 …"
"От правдивости или брехливости рта сей факт не зависит. Всё упирается в размеры."
"На Урале обнаружен древний Кремль https:// matveychev-oleg.livejournal.com/6399905.html?u tm_source=twsharing&utm_medium=social … #Урал #карты #наука #славяне #история #древниецивилизации #Русь"
"Самый главный партнер: как и почему растет торговля между Украиной и Россией http:// ukraina.ru/exclusive/2017 1102/1019473677.html …"
"Актёр Марьянов умер из-за сочетания несовместимых лекарств https:// life.ru/1057116"
"29-08-2016 вот даете! Прошлогодние новости за свежие лепите!"
"В пирамиде Хеопса обнаружена гигантская таинственная полость https://www. gazeta.ru/science/news/2 017/11/02/n_10769750.shtml … с помощью @gazetaru"
"Назвал и хорошо, дальше что? Я рад за Осташко и Илью. Разберутся значит без подсказок из погреба."
"Новая дисциплина будет именоваться укрофихибиге."
"Боюсь сглазить. Россия отказавается от услуг шаровароносцев https:// peremogi.livejournal.com/33029634.html? utm_source=twsharing&utm_medium=social … #нерабыдло ##зрада"
"Кому чего помогать и просить я решаю сам без подсказок. Хочешь поумничать - напиши Осташко, поддержи Сытина."
"Подскажите это Осташко как ему огород городить и сажать."
"А на стену по уничтоженным индейцам там и бетона не хватит стену соорудить."
"Вопрос не ко мне. Но в начале процесса адвоката Виолетты Волковой ещё не было у Сытина."
"Допрыгались: УЕФА может исключить киевское «Динамо» из Европейских кубков https:// nahnews.org/998048-dopryga lis-uefa-mozhet-isklyuchit-kievskoe-dinamo-iz-evropeiskih-kubkov …"
"Илья, помоги Осташко в деле против Сытина, у него нет юриста по гражданским делам, вчера просил."
"Это виновны пидоры, всё норовили скупить соль и хлеб по-дешевке."
"Нормальных покупателей нет, одни пидоры за хлебом к нему идут? https:// twitter.com/vzglyad/status /926020679308324864 …"
"Какая ИТК номинировала? https:// twitter.com/tass_agency/st atus/926017214486020097 …"
"Киви, картофель или яйцо Кощея? Изощренная пытка, либероидная! https:// twitter.com/zedolazer/stat us/926016762696687616 …"
"Как это она еще Русская Лозовая, если там такие уроды? https:// twitter.com/_Naspravdi_/st atus/926001033020665857 …"
"Леонид Ильич крутнулся пропеллером в могиле сейчас от зависти. https:// twitter.com/Neskuchniy911/ status/925972067664658432 …"
"Не вся коллекция! Где трубка «Фрихэнд» за 60000$, где кальсоны от Пьера Кардена за 200$ и портянки от Юдашкина за 500$? https:// twitter.com/Subb_Zer0/stat us/925701944043364353 …"
"Пусть поищут в Спортлото, там полно доказательств"
"Жги Педогамова напалмом Онотоль!"
"Поклонской уже подарил часики с кровью? https:// twitter.com/Marfacigareta/ status/925762985620135936 …"
"Без имбецилов — как без рук. Александр Роджерс https:// news-front.info/2017/11/01/bez -imbetsilov-kak-bez-ruk-aleksandr-rodzhers/ … #NewsFront #Новости #News"
"Оооо! Этот выиграет, он же юрист, с большой практикой. https:// twitter.com/uf_ru/status/9 25739234119516165 …"
"Холст, масло 2018 г. Художник Жириновский В.В. https:// twitter.com/Pravdiva_pravd a/status/925735934607446017 …"
"Белиссимо! Ахахаха! МГИМО финишед: Роман Носиков про Собчак, Поклонскую и Будапештский меморандум | http:// naspravdi.info/novosti/mgimo- finished-roman-nosikov-pro-sobchak-poklonskuyu-i-budapeshtskiy-memorandum …"
"Ушедший от Собчак политтехнолог заявил о нехватке денег в ее штабе | http:// naspravdi.info/novosti/usheds hiy-ot-sobchak-polittehnolog-zayavil-o-nehvatke-deneg-v-ee-shtabe …"
"Украинские спецслужбы, организовав в Крыму теракты, подложили Киеву свинью | http:// naspravdi.info/novosti/ukrain skie-specsluzhby-organizovav-v-krymu-terakty-podlozhili-kievu-svinyu …"
"Яровая объяснила, за чей счет должны устанавливаться счетчики https:// rueconomics.ru/286019-yarovay a-obyasnila-za-chei-schet-dolzhny-ustanavlivatsya-schetchiki?utm_campaign=transit&utm_source=mirtesen&utm_medium=news&from=mirtesen …"
"Виолетта Волкова – адвокат Сытина https:// ruslanostashko.livejournal.com/134818.html?ut m_source=twsharing&utm_medium=social … #суд #Волкова #русофобия #Сытин"
