"U Street!"
"Lot of old, White, corrupt males going to jail. And if history holds, they’ll take down as many as possible, with them. Expect some suicides"
"Title: Desperate insecurity. The Remix. Not mad. https:// twitter.com/trellbeylike/s tatus/926239204488687616 …"
"True"
"Auto correct is not your friend. Know that. Review. Correct. Post"
"Don’t let these fuckers make you believe African American suffering is normal. Project your reality and don’t be passive. We are great"
"Ur heart is a wonderful gift that experiences all levels of life as you perceive it. Believe in your heart & make the mind it’s best friend"
"Be gracious in your acceptance of gifts. The universe will continue to bless your"
"Recognize your opportunities"
"You can have thee most fun spending money with your people, friends and family #buyblack #prosperity #success #homeland"
"Shaun blocked me"
"This elf been angry since age two. A misunderstood elf in hateful White world where white skin didn’t stop bullying, C’mon. He dont like you https:// twitter.com/thinkprogress/ status/926309233200717824 …"
"I cook gumbo, frequently & enjoy serving others. One year, this guy said, yeah, I give you a B this time. Believe it didn’t happen again"
"Crypto currency? Yay or nay?"
"It’s sad that I can’t be like my idol, Hitler. I could’ve tweaked his model, and conquered the world #Whitepower #Heil #Motherfucker #Heil https:// twitter.com/thehill/status /926293129770172416 …"
"Move at your own pace, means move when you can reasonably move & plan. Healthy competition is great, but you may be a long distance winner"
"Smooches smooches. Good night"
"The meek shall inherent the earth. #userdeliberate https:// twitter.com/winterjessica/ status/926270231605055488 …"
"Don’t hatefully judge another’s choice of excellence. Don’t hate or put down others. Stay focused and associate with discernment"
"Be consistent about your personal standard of excellence"
