"@coroner6666 @ARK_ROTENBERG А твои потуги, раб путинского хуйла, смешны. Ты ущербный ударся ап стену. Ты поняло, чучело ты гундяевское?"
"@coroner6666 @ARK_ROTENBERG Да, и еще, пойди на свалку, накопай себе сыра, персиков и еще вкусностей каких. Вы ж теперь по мусорках спецы."
"@coroner6666 @ARK_ROTENBERG Ты севастополец, учи китайский. Когда на вас пойдут китайцы(а они пойдут) мы палец об палец не ударим."
"@coroner6666 @ARK_ROTENBERG Ты себе купил генератор или как дети подземелья, как крот со свечкой лазаеш по дому."
"@coroner6666 @ARK_ROTENBERG Хоть один случай примененияя Украиною фосфорных бомб. Лайф ньюз и раша тудей некатят."
"@ARK_ROTENBERG @coroner6666 Можна разницу, между украинцами и хохлами. Напишите, мне будет очень интиресно узнать."
"@coroner6666 @coldwar20_ru Убогий, нападалка не виросла. Ти смішний в своїх потугах, раб президента ВВХуйла. Давай, гавкни що небудь, убогий"
"@coroner6666 @coldwar20_ru У Америки, дай Бог їм здоровя, ти і такі як ти, можете тільки посмоктать. Ти поняло, чучело пуцена?"
"@coroner6666 @coldwar20_ru Ти в севастополі свет проведи, чмо ти ватнориле. Забийся під вану, раб і холуй пуцена."
"@ARK_ROTENBERG @coroner6666 Еще три года назад, пока был януковощ, вы называли нас своими братьями. Так что поменялось, что произошло?"
"@ARK_ROTENBERG @coroner6666 Не сокорбляйте украинцев, вам они что в щи нагадили, Откуда столько ненависти."
"@ARK_ROTENBERG @coroner6666 Вы пишите оскорбления по русски и думаете, что вам все можно, потому что вы русский? За все надо отвечать.За все"
"@ARK_ROTENBERG @coroner6666 Харашо, я тебе пишу про тех пленных трактористов и шахтеров с Бурятии. Вас устроит такой ответ."
"@ARK_ROTENBERG @coroner6666 Ты оскорбил, пишеш прот украинцев, и хочеш что бы тебя гладили по голове. Относись к людям зеркально. А ты как,"
"@coldwar20_ru @coroner6666 Так що у нас нічого не може буть спільного з внуками зеків і бандюків.Яка нормальна дівчина вийде заміж за зека?"
"@coldwar20_ru @coroner6666 У вас в вашому кремлі був концерт шансон года. У вас тюремна тематика на рівні государства підтримується."
"@coldwar20_ru @coroner6666 Це зараз в усіх школах дітям росказують. Так що вам здоровенний КУЙ, а не Україну.Ви нація зеків і уголовників."
"@coldwar20_ru @coroner6666 Так що діти виростуть, у них також будуть діти і всі вони будуть знать що ви нація вбивць, грабіжників і зеків."
"@coldwar20_ru @coroner6666 Ви для нас вороги і даже зараз маленьким діткам росказують, хто такі кацапи і що вони зробили."
"@coldwar20_ru @coroner6666 А Київ ви можеите бачить тільки в своїх влажних мєчтах. Да, сходіть до псіхіатра, він вам поможе. Можею"
